"","region","state","year","abundance","simpson","richness","evenness","encs"
"521","north_east","chihuahua",1982,1.88018325845888,0.78435556898482,43,0.49988918446903,6.5547059574445
"522","north_east","chihuahua",1983,1.64665374909612,0.722612680986322,35,0.463148395211212,5.18958508604208
"523","north_east","chihuahua",1984,1.76775872347906,0.765579036339214,31,0.514783142223181,5.85770989016457
"524","north_east","chihuahua",1985,1.73706487656673,0.726282610289477,30,0.510721572917899,5.68064553365503
"525","north_east","chihuahua",1986,1.77607704179084,0.758537530515968,21,0.583368025074868,5.90663940912863
"526","north_east","chihuahua",1987,1.70818254243754,0.726684383498159,21,0.561067483449014,5.51892195074447
"527","north_east","chihuahua",1988,1.80476675361212,0.76106782787708,21,0.592791411634875,6.07855348251571
"528","north_east","chihuahua",1989,1.98663270128394,0.803231531636174,19,0.674706698063868,7.29094160267513
"529","north_east","chihuahua",1990,1.77513878897924,0.75294377607323,20,0.592555885133653,5.90110008714449
"530","north_east","chihuahua",1991,1.71004046523955,0.70543214675526,26,0.524858746597482,5.52918521290138
"531","north_east","chihuahua",1992,1.54551593218084,0.6116962978172,22,0.499998287147979,4.69039092649084
"532","north_east","chihuahua",1993,1.68805098136857,0.720378006693427,21,0.55445509629117,5.40892832299933
"533","north_east","chihuahua",1994,1.73644134621295,0.72917299810947,21,0.570349334495754,5.67710458279558
"534","north_east","chihuahua",1995,1.85689106564541,0.759999415736402,22,0.600732954549996,6.40379680757568
"535","north_east","chihuahua",1996,1.77456494536861,0.745418430497727,22,0.574099182442675,5.89771474998377
"536","north_east","chihuahua",1997,1.86881755885574,0.747775532519193,36,0.521503469341475,6.48062890474193
"537","north_east","chihuahua",1998,1.79523003761372,0.743597078100373,36,0.500968480548107,6.02085958668751
"538","north_east","chihuahua",1999,1.90615167877439,0.782602670840737,42,0.509983993622702,6.72715068467755
"539","north_east","chihuahua",2000,2.20373179594538,0.834205413813748,48,0.569263076170914,9.05875592899026
"540","north_east","chihuahua",2001,1.84316263238071,0.755003888731632,49,0.473599110749155,6.31648341979512
"541","north_east","chihuahua",2002,1.91732068683112,0.768472878489902,50,0.490109767803188,6.80270744646074
